user_id,user_first_name,user_last_name,user_email,user_mobile_number,user_password,user_membership_status,address-id,address-country,address-state,address-city,address-postcode,address-type,category_id,category_name,category_description
9056,Bar,Self,bself0@china.com.cn,(606) 1491457,gM5*1Wi3K/)'NER,Prime,169,United States,Kentucky,London,40745,Residential,8,Toys & Games,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
6599,Clotilda,Dingivan,cdingivan1@ow.ly,(520) 9745921,oL5$qcFT~34,Prime,116,United States,Arizona,Tucson,85743,Residential,8,Clothing,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
5765,Michail,Tamas,mtamas2@dell.com,(614) 9835107,iY4#({g9wUO,Not Prime,161,United States,Ohio,Columbus,43231,Residential,6,Toys & Games,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
8815,Lynnett,Carnduff,lcarnduff3@nba.com,(318) 1232656,iU9}HZ#ytJ,Prime,146,United States,Louisiana,Shreveport,71137,Residential,5,Books,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti
6778,Shayne,Nanuccioi,snanuccioi4@lycos.com,(202) 9503354,hB8/'yg+J2Ln,Not Prime,68,United States,District of Columbia,Washington,20380,Residential,8,Books,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
5812,Julissa,Horley,jhorley5@sogou.com,(760) 7565115,"cS4>C~\R0Bl,5wZ>",Prime,128,United States,California,Oceanside,92056,Residential,5,Clothing,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
9729,Emalia,Batcock,ebatcock6@toplist.cz,(561) 5202046,eN3&Jl7LfqRf<dc,Prime,115,United States,Florida,Boca Raton,33487,Residential,11,Clothing,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
4620,Lydon,Elias,lelias7@sohu.com,(859) 4120346,aN6>joA{mj,Prime,147,United States,Kentucky,Lexington,40515,Business,2,Books,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
7813,Anatole,Lavall,alavall8@meetup.com,(419) 9119214,sH8|\y&Uf<7D0l,Prime,171,United States,Ohio,Toledo,43635,Business,8,Clothing,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
3812,Marna,Bolzen,mbolzen9@wix.com,(336) 9445231,uV2*w<CaEK,Not Prime,95,United States,North Carolina,Greensboro,27415,Residential,15,Electronics,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
7920,Anica,Haslegrave,ahaslegravea@slashdot.org,(217) 2829096,qK5$b8>eMjA=TAs,Prime,128,United States,Illinois,Springfield,62723,Residential,10,Clothing,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
8587,Kylynn,Gresly,kgreslyb@e-recht24.de,(480) 2978056,"aH9{NHXn$,_Cv,",Prime,111,United States,Arizona,Phoenix,85025,Residential,1,Electronics,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum
2208,Jania,Braxay,jbraxayc@deliciousdays.com,(304) 3140049,"aN8$*'h$6,S#O5",Prime,127,United States,West Virginia,Charleston,25362,Residential,14,Clothing,at nunc commodo placerat praesent blandit nam nulla integer pede
8586,Bibbie,Caps,bcapsd@amazon.co.jp,(208) 4620286,aW9{.FaG$u<,Prime,30,United States,Idaho,Boise,83732,Business,15,Books,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis
3357,Shanie,Fann,sfanne@google.fr,(785) 7973128,vR8.(6Mn$PzR,Prime,163,United States,Kansas,Topeka,66617,Residential,8,Electronics,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla
4971,Beauregard,Welch,bwelchf@hatena.ne.jp,(253) 6488142,hU4_V/$#}}wx\,Prime,27,United States,Washington,Seattle,98140,Residential,1,Books,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
3823,Jandy,Silberschatz,jsilberschatzg@hatena.ne.jp,(253) 1784454,"yO8(z'GdwBEmvAt,",Not Prime,194,United States,Washington,Seattle,98148,Residential,1,Clothing,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
7684,Shawn,Goodwill,sgoodwillh@wikispaces.com,(586) 5892373,gI9!$r}<UpK,Prime,118,United States,Michigan,Detroit,48211,Residential,11,Books,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat
4828,Nicol,Tytcomb,ntytcombi@google.es,(682) 9041422,yW7'Hz9KqS!,Prime,193,United States,Texas,Fort Worth,76178,Residential,1,Shoes & Jewelry,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
8986,Arielle,Klousner,aklousnerj@multiply.com,(626) 3558531,vM0#5RN1.>hl0,Not Prime,126,United States,California,Whittier,90605,Residential,13,Clothing,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
2137,Tomkin,Archibald,tarchibaldk@cbsnews.com,(904) 8526020,"jG5""TF|umgJgDo`",Prime,55,United States,Florida,Jacksonville,32244,Residential,12,Electronics,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
3348,Emelen,Froschauer,efroschauerl@hud.gov,(719) 5656929,mD5/A+z~s,Not Prime,58,United States,Colorado,Colorado Springs,80930,Residential,6,Books,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
9926,Derek,Wyld,dwyldm@marketwatch.com,(816) 5294612,xS3_v`8+xf%{A,Not Prime,197,United States,Missouri,Kansas City,64136,Residential,10,Electronics,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
7314,Brnaba,Bawme,bbawmen@comcast.net,(763) 7184077,"kS5{I&}{g\,CEh",Prime,53,United States,Minnesota,Monticello,55590,Residential,8,Clothing,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
2932,Arnaldo,Philott,aphilotto@comsenz.com,(626) 6980822,sM2*a8Ek.lPoEtT4,Prime,84,United States,California,Corona,92883,Other,5,Clothing,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit
6223,Elana,Greed,egreedp@baidu.com,(317) 9946827,gG6_BkGmXNdRe!,Prime,55,United States,Indiana,Indianapolis,46295,Residential,14,Books,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
2653,Lynelle,Waryk,lwarykq@elegantthemes.com,(360) 4349384,sZ1<qd~nb,Prime,18,United States,Washington,Vancouver,98682,Business,2,Books,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
7715,Victor,McCrisken,vmccriskenr@theguardian.com,(210) 6319490,hA9'g()*IX35u#,Prime,154,United States,Texas,San Antonio,78265,Business,8,Shoes & Jewelry,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam
9548,Arluene,Venney,avenneys@buzzfeed.com,(208) 8236373,mD0_170&@9X6a,Not Prime,83,United States,Idaho,Boise,83732,Other,14,Shoes & Jewelry,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
3667,Minnie,Balasini,mbalasinit@un.org,(281) 1281798,uM9/T\4<),Prime,147,United States,Texas,Houston,77035,Residential,14,Electronics,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
6951,Kalila,Berrecloth,kberreclothu@w3.org,(402) 7415508,pW6@grP0j2MVa,Prime,48,United States,Nebraska,Lincoln,68517,Residential,4,Books,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
1210,Bernardine,Muglestone,bmuglestonev@telegraph.co.uk,(202) 6033923,kE0''/$V{8fH#XN,Not Prime,63,United States,District of Columbia,Washington,20404,Business,8,Electronics,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
1219,Lesya,Shaxby,lshaxbyw@yolasite.com,(626) 6025009,aU8*WsVan,Prime,9,United States,California,Pasadena,91199,Business,12,Clothing,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
6822,Woody,Gillinghams,wgillinghamsx@chron.com,(419) 8015548,yJ1#R`>.<,Prime,158,United States,Ohio,Toledo,43610,Business,11,Books,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
9790,Shina,Boltwood,sboltwoody@vistaprint.com,(512) 6432165,oP7{6hb%X2(,Not Prime,121,United States,Texas,Austin,78732,Residential,11,Books,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at
4601,Zonda,Cromleholme,zcromleholmez@mozilla.org,(202) 1779561,gU1&a}?\pgVB!W,Prime,94,United States,District of Columbia,Washington,20520,Residential,5,Grocery & Gourmet Food,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in
7021,Pamela,MacClinton,pmacclinton10@harvard.edu,(318) 6558646,kO2(`mucXOjK,Prime,133,United States,Louisiana,Shreveport,71151,Residential,5,Books,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
7286,Meredeth,Kynnd,mkynnd11@nsw.gov.au,(202) 5172494,wK2}Q*V(b,Prime,148,United States,Virginia,Alexandria,22301,Other,15,Books,erat id mauris vulputate elementum nullam varius nulla facilisi cras non
4879,Any,Giorgietto,agiorgietto12@seattletimes.com,(402) 3446623,eS2~u5!bM|uV_yg=,Prime,159,United States,Nebraska,Omaha,68134,Business,8,Books,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
9209,Kala,Colledge,kcolledge13@reuters.com,(936) 8733126,aX0/Ym3hVbE=5j,Prime,29,United States,Texas,Conroe,77305,Other,1,Shoes & Jewelry,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
3090,Mirabella,Shemilt,mshemilt14@alexa.com,(502) 5478119,rJ4*\VFB$}y),Prime,51,United States,Kentucky,Louisville,40225,Residential,7,Books,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
2398,Leonore,Piens,lpiens15@amazon.co.uk,(646) 2919872,"cZ2/56/3PsZ4>XY""",Prime,59,United States,New York,New York City,10155,Residential,15,Electronics,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris
8932,Kellen,Palmer,kpalmer16@hubpages.com,(202) 8603726,qR6?whPF{80,Prime,161,United States,District of Columbia,Washington,20067,Other,15,Books,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
6748,Pepito,Hiner,phiner17@phpbb.com,(919) 3006064,"mP4,z*=w<qy0Z",Prime,139,United States,North Carolina,Durham,27710,Business,15,Electronics,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
3105,Hephzibah,Gyppes,hgyppes18@dropbox.com,(412) 4110208,sZ9>*/{|`N,Prime,163,United States,Pennsylvania,Pittsburgh,15255,Business,8,Clothing,ut nulla sed accumsan felis ut at dolor quis odio consequat
2275,Vivienne,Turnell,vturnell19@icq.com,(281) 7417065,mP6=f~r>>B8dHL,Prime,132,United States,Texas,Houston,77075,Residential,6,Clothing,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
4092,Chere,Sedgefield,csedgefield1a@odnoklassniki.ru,(404) 8416153,uO1}bs##uNq>QUt3,Prime,112,United States,Georgia,Atlanta,30343,Residential,15,Electronics,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi
4449,Mick,Overlow,moverlow1b@abc.net.au,(602) 1656671,sY1\rhNTJ,Prime,145,United States,Arizona,Phoenix,85062,Residential,11,Shoes & Jewelry,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
1208,Maddi,Aland,maland1c@noaa.gov,(813) 1064325,dE8~LK(E~PpS(Plv,Not Prime,184,United States,Florida,Tampa,33615,Business,13,Toys & Games,fermentum donec ut mauris eget massa tempor convallis nulla neque
7637,Herbie,Casaccia,hcasaccia1d@themeforest.net,(606) 4125923,tJ4+a<$U,Not Prime,161,United States,Kentucky,London,40745,Residential,3,Books,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis
